Index,PMID,Substrate,Substrate PubChem CID,Metabolite,Metabolite PubChem CID,Metabolite ChEBI,Metabolite HMDB,Metabolite KEGG,Metabolite fooDB,Metabolite Metabolights,Extra Source,Gene,Gene ID,Alteration,high/low-throughput,Associative mode,human/mouse,Sample,Experimental method,Measurement technique,Description,Condition,DOID
7,17374366,,,Butyrate,104775,CHEBI:17968,,,,MTBLC17968,homo sapiens,MUC2,4583,activation,low-throughput,causally,human,LS174T cells,cell culture,"real-time PCR,Western blot assay","We also measured MUC2 mRNA levels in the butyrate-treated cells, and found that 1 mM butyrate treatment for 36 h increased the cellular MUC2 mRNA levels, although the fold increase was less than that for MUC2 proteins (Fig. 3B). These results show that buty rate treatment inhibits the proliferation of LS174T cells but concomitantly increases MUC2 production per cell.",healthy,
7,17374366,,,Butyrate,104775,CHEBI:17968,,,,MTBLC17968,homo sapiens,HDAC1,3065,inhibition,low-throughput,causally,human,LS174T cells,cell culture,"real-time PCR,Western blot assay","Butyrate, which has inhibitory activity on many HDACs except the class III sirtuin family of HDACs, HDAC6, and HDAC10.",healthy,
7,17374366,,,Butyrate,104775,CHEBI:17968,,,,MTBLC17968,homo sapiens,HDAC2,3066,inhibition,low-throughput,causally,human,LS174T cells,cell culture,"real-time PCR,Western blot assay","Butyrate, which has inhibitory activity on many HDACs except the class III sirtuin family of HDACs, HDAC6, and HDAC10.",healthy,
7,17374366,,,Butyrate,104775,CHEBI:17968,,,,MTBLC17968,homo sapiens,HDAC3,8841,inhibition,low-throughput,causally,human,LS174T cells,cell culture,"real-time PCR,Western blot assay","Butyrate, which has inhibitory activity on many HDACs except the class III sirtuin family of HDACs, HDAC6, and HDAC10.",healthy,
7,17374366,,,Butyrate,104775,CHEBI:17968,,,,MTBLC17968,homo sapiens,HDAC4,9759,inhibition,low-throughput,causally,human,LS174T cells,cell culture,"real-time PCR,Western blot assay","Butyrate, which has inhibitory activity on many HDACs except the class III sirtuin family of HDACs, HDAC6, and HDAC10.",healthy,
7,17374366,,,Butyrate,104775,CHEBI:17968,,,,MTBLC17968,homo sapiens,HDAC5,10014,inhibition,low-throughput,causally,human,LS174T cells,cell culture,"real-time PCR,Western blot assay","Butyrate, which has inhibitory activity on many HDACs except the class III sirtuin family of HDACs, HDAC6, and HDAC10.",healthy,
7,17374366,,,Butyrate,104775,CHEBI:17968,,,,MTBLC17968,homo sapiens,HDAC7,51564,inhibition,low-throughput,causally,human,LS174T cells,cell culture,"real-time PCR,Western blot assay","Butyrate, which has inhibitory activity on many HDACs except the class III sirtuin family of HDACs, HDAC6, and HDAC10.",healthy,
7,17374366,,,Butyrate,104775,CHEBI:17968,,,,MTBLC17968,homo sapiens,HDAC8,55869,inhibition,low-throughput,causally,human,LS174T cells,cell culture,"real-time PCR,Western blot assay","Butyrate, which has inhibitory activity on many HDACs except the class III sirtuin family of HDACs, HDAC6, and HDAC10.",healthy,
7,17374366,,,Butyrate,104775,CHEBI:17968,,,,MTBLC17968,homo sapiens,HDAC9,9734,inhibition,low-throughput,causally,human,LS174T cells,cell culture,"real-time PCR,Western blot assay","Butyrate, which has inhibitory activity on many HDACs except the class III sirtuin family of HDACs, HDAC6, and HDAC10.",healthy,
7,17374366,,,Butyrate,104775,CHEBI:17968,,,,MTBLC17968,homo sapiens,HDAC11,79885,inhibition,low-throughput,causally,human,LS174T cells,cell culture,"real-time PCR,Western blot assay","Butyrate, which has inhibitory activity on many HDACs except the class III sirtuin family of HDACs, HDAC6, and HDAC10.",healthy,
8,28942145,,,Trimethylamine oxide,1145,CHEBI:15724,HMDB0000925,C01104,FDB010413,MTBLC15724,food; homo sapiens,Nox4,50490,activation,low-throughput,causally,mouse,"plasmas sample,kidney tissues",control experiment,"LC/MS analysis,Western blot assay","Oxidative stress and inflammation in the kidney have been demonstrated to play a pivotal role in the initiation and progression of obesity-related renal injury [20e22]. To further determine the possible molecular mechanisms by which elevated TMAO levels induce renal interstitial fibrosis and dysfunction, we measured expression of NOX-4 (a constitutive active enzyme responsible for the production of reactive oxygen species) and proinflammatory cytokines in the kidney. As presented in Fig. 4, expression of NOX-4(Fig. 4A and B) and pro-inflammatory cytokines TNF-a (Fig. 4A and C) and IL-1 b (Fig. 4A and D) was significantly increased in mice fed a HFD, compared with mice fed a LFD, but was reduced by DMB treatment. Expression of NOX-4, TNF-a and IL-1 b in mice fed a LFD was not affected by DMB treatment.",obesity,DOID:9970
8,28942145,,,Trimethylamine oxide,1145,CHEBI:15724,HMDB0000925,C01104,FDB010413,MTBLC15724,food; homo sapiens,Tnf,21926,activation,low-throughput,causally,mouse,"plasmas sample,kidney tissues",control experiment,"LC/MS analysis,Western blot assay","Oxidative stress and inflammation in the kidney have been demonstrated to play a pivotal role in the initiation and progression of obesity-related renal injury [20e22]. To further determine the possible molecular mechanisms by which elevated TMAO levels induce renal interstitial fibrosis and dysfunction, we measured expression of NOX-4 (a constitutive active enzyme responsible for the production of reactive oxygen species) and proinflammatory cytokines in the kidney. As presented in Fig. 4, expression of NOX-4(Fig. 4A and B) and pro-inflammatory cytokines TNF-a (Fig. 4A and C) and IL-1 b (Fig. 4A and D) was significantly increased in mice fed a HFD, compared with mice fed a LFD, but was reduced by DMB treatment. Expression of NOX-4, TNF-a and IL-1 b in mice fed a LFD was not affected by DMB treatment.",obesity,DOID:9970
8,28942145,,,Trimethylamine oxide,1145,CHEBI:15724,HMDB0000925,C01104,FDB010413,MTBLC15724,food; homo sapiens,Il1b,16176,activation,low-throughput,causally,mouse,"plasmas sample,kidney tissues",control experiment,"LC/MS analysis,Western blot assay","Oxidative stress and inflammation in the kidney have been demonstrated to play a pivotal role in the initiation and progression of obesity-related renal injury [20e22]. To further determine the possible molecular mechanisms by which elevated TMAO levels induce renal interstitial fibrosis and dysfunction, we measured expression of NOX-4 (a constitutive active enzyme responsible for the production of reactive oxygen species) and proinflammatory cytokines in the kidney. As presented in Fig. 4, expression of NOX-4(Fig. 4A and B) and pro-inflammatory cytokines TNF-a (Fig. 4A and C) and IL-1 b (Fig. 4A and D) was significantly increased in mice fed a HFD, compared with mice fed a LFD, but was reduced by DMB treatment. Expression of NOX-4, TNF-a and IL-1 b in mice fed a LFD was not affected by DMB treatment.",obesity,DOID:9970
9,24412617,,,Butyrate,104775,CHEBI:17968,,,,MTBLC17968,homo sapiens,Il18,16173,activation,low-throughput,causally,mouse,fecal,"control experiment,cell culture","qPCR,real-time qPCR,ELISA",Butyrate or niacin induces IL-18 expression in colonic epithelium in a Gpr109a-dependent manner.,healthy,
9,24412617,,,Nicotinic acid,938,CHEBI:15940,HMDB0001488,C00253,FDB001014,MTBLC15940,food; homo sapiens; mus musculus,Il18,16173,activation,low-throughput,causally,mouse,fecal,"control experiment,cell culture","qPCR,real-time qPCR,ELISA",Butyrate or niacin induces IL-18 expression in colonic epithelium in a Gpr109a-dependent manner.,healthy,
10,31189717,,,Indole,798,CHEBI:16881,HMDB0000738,C00463,FDB012008,MTBLC16881,food,Mir181a-2,387176,inhibition,low-throughput,causally,mouse,fecal and serum,"control experiment,double-knockout experiments",qPCR,Our data indicate that WAT miR-181 expression is controlled by the relative abundance of microbiota-derived metabolites acting as positive and negative regulators of miR-181 expression and that  indole and indole-derived metabolites  including indoxyl sulfate  are key negative regulators of miR-181 expression in WAT.,obesity,DOID:9970
10,31189717,,,Indoxyl sulfate,10258,CHEBI:43355,HMDB0000682,,FDB022179,MTBLC43355,food; homo sapiens,Mir181a-2,387176,inhibition,low-throughput,causally,mouse,fecal and serum,"control experiment,double-knockout experiments",qPCR,Our data indicate that WAT miR-181 expression is controlled by the relative abundance of microbiota-derived metabolites acting as positive and negative regulators of miR-181 expression and that  indole and indole-derived metabolites  including indoxyl sulfate  are key negative regulators of miR-181 expression in WAT.,obesity,DOID:9970
11,30258117,,,Butyrate,104775,CHEBI:17968,,,,MTBLC17968,homo sapiens,Ifng,15978,activation,low-throughput,causally,mouse,CTLs and Tc17 cells,"control experiment,in vitro bacterial culture","RT-qPCR,Western blot assay",Butyrate promotes the increased expression of IFN-�� and granzyme B in CTLs and Tc17 cells.,healthy,
11,30258117,,,Butyrate,104775,CHEBI:17968,,,,MTBLC17968,homo sapiens,Gzmb,14939,activation,low-throughput,causally,mouse,CTLs and Tc17 cells,"control experiment,in vitro bacterial culture","RT-qPCR,Western blot assay",Butyrate promotes the increased expression of IFN-�� and granzyme B in CTLs and Tc17 cells.,healthy,
12,31341083,,,Indoxyl sulfate,10258,CHEBI:43355,HMDB0000682,,FDB022179,MTBLC43355,food; homo sapiens,EGFR,1956,activation,low-throughput,causally,human,urine and serum samples,in vitro bacterial culture,,"We provide direct evidence that IS activates EGFR and downstream MAPK signaling, which stimulates AhR?ARNT nuclear translocation and results in enhanced OAT1 expression and function in the kidney.",chronic kidney disease,
12,31341083,,,Indoxyl sulfate,10258,CHEBI:43355,HMDB0000682,,FDB022179,MTBLC43355,food; homo sapiens,SLC22A6,9356,activation,low-throughput,causally,human,urine and serum samples,in vitro bacterial culture,,"We provide direct evidence that IS activates EGFR and downstream MAPK signaling, which stimulates AhR?ARNT nuclear translocation and results in enhanced OAT1 expression and function in the kidney.",chronic kidney disease,
13,29912352,Choline,305,Trimethylamine oxide,1145,CHEBI:15724,HMDB0000925,C01104,FDB010413,MTBLC15724,food; homo sapiens,CD14,929,activation,low-throughput,correlatively,human,plasma samples,control experiment,"LC/MS analysis,UHPLC analysis,ELISA","Interestingly, we found that plasma TMAO was positively correlated with serum sCD14 and sCD163 levels which are biomarkers of monocyte activation and macrophage inflammation and have been reported to be associated with carotid artery atherosclerosis and CVD risk in HIV infected individuals.",human immunodeficiency virus infectious disease,DOID:526
13,29912352,Choline,305,Trimethylamine oxide,1145,CHEBI:15724,HMDB0000925,C01104,FDB010413,MTBLC15724,food; homo sapiens,CD163,9332,activation,low-throughput,correlatively,human,plasma samples,control experiment,"LC/MS analysis,UHPLC analysis,ELISA","Interestingly, we found that plasma TMAO was positively correlated with serum sCD14 and sCD163 levels which are biomarkers of monocyte activation and macrophage inflammation and have been reported to be associated with carotid artery atherosclerosis and CVD risk in HIV infected individuals.",human immunodeficiency virus infectious disease,DOID:526
14,25828455,,,Acetate,175,CHEBI:30089,,,FDB008299,MTBLC30089,homo sapiens,Nlrp3,216799,activation,low-throughput,causally,mouse,fecal,control experiment,16S rRNA sequence,"SCFAs binding to GPR43 on colonic epithelial cells stimulates K t efflux and hyperpolarization,which lead to NLRP3 inflammasome activation.",colitis,DOID:60180
15,31211831,,,Butyrate,104775,CHEBI:17968,,,,MTBLC17968,homo sapiens,TNF,7124,inhibition,low-throughput,causally,human,fecal,in vitro bacterial culture��control experiment,real-time qPCR,"On the other hand, we confirmed in both ex vivo epithelial cultures and whole mucosal samples that the inflammatory milieu, in particular the presence of TNF��, does impact butyrate uptake and oxidation. Indeed, TNF�� may be responsible for the downregulation of butyrate transporters in the human intestinal epithelium observed in patient biopsies, and that may result in decreased butyrate consumption.",inflammatory bowel disease,DOID:50589
16,31602628,,,Taurine,1123,CHEBI:15891,HMDB0000251,C00245,FDB003191,MTBLC15891,food; homo sapiens; mus musculus,Nlrp6,101613,activation,low-throughput,causally,mouse,fecal,control experiment,"real-time qPCR Analysis��Western blot assay, immunohistochemistry��16S rRNA sequence","Taken together, these experiments suggest that RYGB restores intestinal NLRP6 inflammasome expression by increasing taurine and decreasing histamine in the gut.",fed a high-fat diet,
16,31602628,,,Histamine,774,CHEBI:18295,HMDB0000870,C00388,FDB012596,MTBLC18295,food; homo sapiens; mus musculus,Nlrp6,101613,inhibition,low-throughput,causally,mouse,fecal,control experiment,"real-time qPCR��Western blot assay, immunohistochemistry��16S rRNA sequence","Taken together, these experiments suggest that RYGB restores intestinal NLRP6 inflammasome expression by increasing taurine and decreasing histamine in the gut.",fed a high-fat diet,
17,28264445,CID 11970143,11970143,Equol,91469,CHEBI:34741,HMDB0002209,C14131,FDB021824,,food,Tlr4,21898,inhibition,low-throughput,causally,mouse,,in vitro bacterial culture,Western blot assay,"Equol inhibited the lipopolysaccharide (LPS)-induced TLR4 activation, MAPK activation,NF-kB-mediated transcription of inflammatory mediators, production of nitric oxide (NO), release of prostaglandin E2 (PGE-2), secretion of tumor necrosis factor-�� (TNF-��) and interleukin 6 (IL-6),in Lipopolysaccharide (LPS)-activated murine microglia cells.",healthy,
17,28264445,CID 11970143,11970143,Equol,91469,CHEBI:34741,HMDB0002209,C14131,FDB021824,,food,Mapk8ip1,19099,inhibition,low-throughput,causally,mouse,,in vitro bacterial culture,Western blot assay,"Equol inhibited the lipopolysaccharide (LPS)-induced TLR4 activation, MAPK activation,NF-kB-mediated transcription of inflammatory mediators, production of nitric oxide (NO), release of prostaglandin E2 (PGE-2), secretion of tumor necrosis factor-�� (TNF-��) and interleukin 6 (IL-6),in Lipopolysaccharide (LPS)-activated murine microglia cells.",healthy,
17,28264445,CID 11970143,11970143,Equol,91469,CHEBI:34741,HMDB0002209,C14131,FDB021824,,food,Tnf,21926,inhibition,low-throughput,causally,mouse,,in vitro bacterial culture,Western blot assay,"Equol inhibited the lipopolysaccharide (LPS)-induced TLR4 activation, MAPK activation,NF-kB-mediated transcription of inflammatory mediators, production of nitric oxide (NO), release of prostaglandin E2 (PGE-2), secretion of tumor necrosis factor-�� (TNF-��) and interleukin 6 (IL-6),in Lipopolysaccharide (LPS)-activated murine microglia cells.",healthy,
17,28264445,CID 11970143,11970143,Equol,91469,CHEBI:34741,HMDB0002209,C14131,FDB021824,,food,Il6,16193,inhibition,low-throughput,causally,mouse,,in vitro bacterial culture,HPLC analysis,"Equol inhibited the lipopolysaccharide (LPS)-induced TLR4 activation, MAPK activation,NF-kB-mediated transcription of inflammatory mediators, production of nitric oxide (NO), release of prostaglandin E2 (PGE-2), secretion of tumor necrosis factor-�� (TNF-��) and interleukin 6 (IL-6),in Lipopolysaccharide (LPS)-activated murine microglia cells.",healthy,
18,31607907,,,Butyrate,104775,CHEBI:17968,,,,MTBLC17968,homo sapiens,Prkaa1,105787,activation,low-throughput,causally,mouse,Blood and fecal,control experiment,"16S rRNA sequence,LC/MS analysis ,Western blot assay","Butyrate can induce AMPK activation and GLUT4 expression in the adipose tissue, improving cardiovascular disease (CVD)-related metabolic disorder, resisting HFD-induced gut microbiome dysbiosis, and promoting resolvin E1 and lipoxin biosynthesis. Oral supplement of the natural fermentation product butyrate can be a potential strategy for preventing CVD.",fed a high-fat diet,
18,31607907,,,Butyrate,104775,CHEBI:17968,,,,MTBLC17968,homo sapiens,Slc2a4,20528,activation,low-throughput,causally,mouse,Blood and fecal,control experiment,"16S rRNA sequence,LC/MS analysis ,Western blot assay","Butyrate can induce AMPK activation and GLUT4 expression in the adipose tissue, improving cardiovascular disease (CVD)-related metabolic disorder, resisting HFD-induced gut microbiome dysbiosis, and promoting resolvin E1 and lipoxin biosynthesis. Oral supplement of the natural fermentation product butyrate can be a potential strategy for preventing CVD.",fed a high-fat diet,
19,27760493,,,Lactate,91435,CHEBI:24996,,,FDB003292,MTBLC24996,food; homo sapiens; mus musculus,Defa5,13239,activation,low-throughput,causally,mouse,,Cell culture,real-time qPCR,"we demonstrate here that ��-defensin 5 expression can also be regulated by microbial metabolites. Among these, lactate appeared to significantly suppress ��-defensin 5 gene transcription.",SPF,
20,32783770,,,3-Methyloxindole,150923,CHEBI:17397,HMDB0304943,C02366,FDB023329,,food,AHR,196,activation,low-throughput,causally,human,fecal,cell culture,"UPLC-QTOF-MS,GC/MS analysis,LC/MS analysis,RT-PCR","Having detected (ex vivo from mouse cecal contents and human stool) and identified 3-methyl-2-oxindole and 5-hydroxyindole-3-acetic acid, 3-indoleacrylic acid and indole-3 carboxylic acid as novel in vitro AHR activators.",health,
20,32783770,,,5-Hydroxyindole-3-acetic acid,1826,CHEBI:27823,HMDB0000763,C05635,FDB001403,MTBLC27823,food; homo sapiens; mus musculus,AHR,196,activation,low-throughput,causally,human,fecal,cell culture,"UPLC-QTOF-MS,GC/MS analysis,LC/MS analysis,RT-PCR","Having detected (ex vivo from mouse cecal contents and human stool) and identified 3-methyl-2-oxindole and 5-hydroxyindole-3-acetic acid, 3-indoleacrylic acid and indole-3 carboxylic acid as novel in vitro AHR activators.",health,
